"Stan Wawrinka","Alejandro Falla",24,17
"Richard Gasquet","Nikolay Davydenko",19,14
"Milos Raonic","Victor Hanescu",19,14
"Fabio Fognini","Jarkko Nieminen",22,17
"Kei Nishikori","Dusan Lajovic",19,8
"Gilles Simon","Marin Cilic",29,22
"Kevin Anderson","Dominic Thiem",18,11
"Grigor Dimitrov","Yen-Hsun Lu",19,12
"Gael Monfils","Jack Sock",20,13
"Feliciano Lopez","Michael Berrer",19,14
"Edouard Roger-Vasselin","Guillermo Garcia-Lopez",23,17
"Rafael Nadal","Bernard Tomic",6,4
"Novak Djokovic","Lukas Lacko",19,10
"David Ferrer","Alejandro Gonzalez",18,11
"Andy Murray","Go Soeda",18,5
"Roger Federer","James Duckworth",18,10
"Tomas Berdych","Aleksandr Nedovyesov",18,10
"Stan Wawrinka","Andrey Golubev",10,5
"Richard Gasquet","David Guez",19,10
"Milos Raonic","Daniel Gimeno-Traver",23,15
"Guillermo Garcia-Lopez","Tommy Haas",12,7
"Martin Klizan","John Isner",13,8
"Fabio Fognini","Alex Bogomolov Jr.",12,5
"Kei Nishikori","Marinko Matosevic",27,20
"Gilles Simon","Daniel Brands",21,20
"Kevin Anderson","Jiri Vesely",26,25
"Grigor Dimitrov","Bradley Klahn",24,18
"Gael Monfils","Ryan Harrison",18,12
"Feliciano Lopez","Somdev Devvarman",19,14
"Ivan Dodig","Ivo Karlovic",20,15
"Pablo Andujar","Albert Ramos-Vinolas",18,10
"Roberto Bautista Agut","Tim Smyczek",18,4
"Marin Cilic","Marcel Granollers",26,20
"Adrian Mannarino","Steve Johnson",26,20
"Jack Sock","Tobias Kamke",24,19
"Dominic Thiem","Joao Sousa",24,20
"Dominic Thiem","Martin Klizan",13,7
"Dominic Thiem","Matthias Bachinger",12,12
"Dominic Thiem","Rik De Voest",20,19
"Gael Monfils","Richard Gasquet",12,8
"Richard Gasquet","Jerzy Janowicz",14,12
"Gael Monfils","Jarkko Nieminen",15,9
"Richard Gasquet","Albano Olivetti",12,6
"Gael Monfils","Denis Istomin",12,8
"Richard Gasquet","Paul-Henri Mathieu",12,4
"Marc Gicquel","Gilles Simon",13,9
"Jerzy Janowicz","Adrian Mannarino",13,9
"Gael Monfils","Joao Sousa",12,5
"Gael Monfils","Lukasz Kubot",16,13
"Adrian Mannarino","Vincent Millot",12,8
"Joao Sousa","Tobias Kamke",15,11
"Fabio Fognini","Leonardo Mayer",12,6
"Fabio Fognini","Nicolas Almagro",14,16
"Fabio Fognini","Jeremy Chardy",15,12
"Santiago Giraldo","Guillermo Garcia-Lopez",15,12
"Fabio Fognini","Aljaz Bedene",13,10
"Guillermo Garcia-Lopez","Paolo Lorenzi",16,15
"Guillermo Garcia-Lopez","Julian Reister",15,14
"Martin Alund","Albert Ramos-Vinolas",12,7
"Marin Cilic","Tommy Haas",12,7
"Marin Cilic","Bjorn Phau",12,7
"Daniel Evans","Philipp Kohlschreiber",14,14
"Marin Cilic","Ivan Dodig",13,9
"Philipp Kohlschreiber","Andrey Golubev",12,6
"Ivan Dodig","Ivo Karlovic",13,9
"Marin Cilic","Dusan Lajovic",13,9
"Marin Cilic","Mate Delic",12,8
"Ivo Karlovic","Daniel Brands",20,18
"David Ferrer","Fabio Fognini",12,7
"David Ferrer","Nicolas Almagro",12,6
"Fabio Fognini","Tommy Robredo",16,14
"David Ferrer","Albert Ramos-Vinolas",12,3
"Fabio Fognini","Pablo Andujar",12,7
"David Ferrer","Santiago Giraldo",13,10
"Fabio Fognini","Leonardo Mayer",18,12
"Albert Ramos-Vinolas","Filippo Volandri",12,3
"David Ferrer","Maximo Gonzalez",13,10
"Fabio Fognini","Julian Reister",13,7
"Albert Ramos-Vinolas","Juan Monaco",18,13
"Carlos Berlocq","Joao Sousa",12,6
"Guido Pella","Guillermo Garcia-Lopez",13,10
"Kei Nishikori","Ivo Karlovic",13,10
"Kei Nishikori","Michael Russell",12,5
"Ivo Karlovic","Yen-Hsun Lu",6,1
"Kei Nishikori","Alex Bogomolov Jr.",15,11
"Ivo Karlovic","Jack Sock",19,16
"Kei Nishikori","Benjamin Becker",12,8
"Ivo Karlovic","Feliciano Lopez",13,10
"Jack Sock","Jiri Vesely",12,3
"Ivo Karlovic","Matthew Ebden",13,9
"Alex Kuznetsov","David Goffin",12,7
"Jack Sock","Adrian Mannarino",15,17
"David Goffin","James McGee",13,6
"David Goffin","Robby Ginepri",13,11
"David Goffin","Dennis Nevolo",12,4
"Tomas Berdych","Marin Cilic",12,6
"Tomas Berdych","Ernests Gulbis",12,5
"Marin Cilic","Igor Sijsling",17,12
"Marin Cilic","Andy Murray",12,7
"Tomas Berdych","Jerzy Janowicz",18,13
"Igor Sijsling","Philipp Kohlschreiber",14,9
"Andy Murray","Dominic Thiem",15,13
"Tomas Berdych","Nicolas Mahut",12,7
"Philipp Kohlschreiber","Richard Gasquet",14,10
"Marin Cilic","Jo-Wilfried Tsonga",12,8
"Ernests Gulbis","Grigor Dimitrov",13,10
"Juan Martin del Potro","Gael Monfils",13,9
"Andy Murray","Edouard Roger-Vasselin",12,6
"Tomas Berdych","Andreas Seppi",12,6
"Richard Gasquet","Thiemo de Bakker",19,16
"Grigor Dimitrov","Dmitry Tursunov",13,12
"Marin Cilic","Lukas Rosol",12,4
"Philipp Kohlschreiber","Sergiy Stakhovsky",13,7
"Dominic Thiem","Jarkko Nieminen",16,14
"Dominic Thiem","Adrian Sikora",13,6
"Dominic Thiem","Kenny De Schepper",14,12
"Marin Cilic","Kevin Anderson",19,17
"Marin Cilic","John Isner",13,9
"Kevin Anderson","Steve Johnson",12,6
"John Isner","Rhyne Williams",16,11
"Kevin Anderson","Marinko Matosevic",18,13
"Steve Johnson","Feliciano Lopez",12,5
"Marin Cilic","Teymuraz Gabashvili",12,5
"Steve Johnson","Tommy Haas",15,16
"John Isner","Dudi Sela",16,13
"Teymuraz Gabashvili","Kei Nishikori",4,2
"Kevin Anderson","Ivo Karlovic",1,0
"Feliciano Lopez","Adrian Mannarino",16,12
"Marin Cilic","Ryan Harrison",12,7
"John Isner","Michael Russell",17,16
"Kei Nishikori","Gastao Elias",17,10
"Kevin Anderson","Tim Smyczek",16,10
"Feliciano Lopez","Sam Querrey",16,11
"Marin Cilic","Benjamin Becker",12,4
"Steve Johnson","Mikhail Kukushkin",12,7
"Ivo Karlovic","Sam Groth",13,9
"Adrian Mannarino","Jack Sock",12,6
"Marinko Matosevic","David Goffin",12,6
"Steve Johnson","Sam Groth",15,14
"Steve Johnson","Sebastian Rivera",12,3
