"day","winner_name","loser_name","winner_games_won","loser_games_won"
69795,"Andre Agassi","Jeff Tarango",13,9
69795,"Andre Agassi","Kevin Curren",12,6
69795,"Andre Agassi","Udo Riglewski",15,13
69795,"Brad Gilbert","Andre Agassi",12,3
69802,"Christian Saceanu","Andre Agassi",13,9
69823,"Andre Agassi","Goran Prpic",12,7
69823,"Jim Courier","Andre Agassi",14,13
69834,"Andre Agassi","Fabrice Santoro",18,17
69834,"Andre Agassi","Magnus Gustafsson",19,14
69834,"David Wheaton","Andre Agassi",13,5
69851,"Andre Agassi","Brian Garrow",12,6
69851,"Andre Agassi","Chuck Adams",13,10
69851,"Andre Agassi","David Engel",12,8
69851,"Andre Agassi","Derrick Rostagno",13,11
69851,"Andre Agassi","MaliVai Washington",13,10
69858,"Andre Agassi","Aki Rahunen",12,5
69858,"Andre Agassi","Goran Prpic",19,16
69858,"Guillermo Perez-Roldan","Andre Agassi",19,13
69872,"Horst Skoff","Andre Agassi",18,10
69893,"Eric Jelen","Andre Agassi",13,9
69907,"Andre Agassi","Alberto Mancini",23,14
69907,"Andre Agassi","Boris Becker",22,15
69907,"Andre Agassi","Jakob Hlasek",18,5
69907,"Andre Agassi","Marc Rosset",22,18
69907,"Andre Agassi","Patrick McEnroe",18,4
69907,"Andre Agassi","Petr Korda",18,5
69907,"Jim Courier","Andre Agassi",23,21
69935,"Andre Agassi","Goran Prpic",22,18
69935,"Andre Agassi","Grant Connell",29,22
69935,"Andre Agassi","Jacco Eltingh",21,16
69935,"Andre Agassi","Richard Krajicek",20,15
69935,"David Wheaton","Andre Agassi",22,22
69956,"Andre Agassi","Chuck Adams",12,4
69956,"Andre Agassi","David Pate",12,7
69956,"Andre Agassi","Jaime Yzaga",12,5
69956,"Andre Agassi","Johan Carlsson",13,7
69956,"Andre Agassi","Petr Korda",12,7
69963,"Petr Korda","Andre Agassi",13,8
69977,"Andre Agassi","Petr Korda",15,13
69977,"Brad Gilbert","Andre Agassi",19,17
69984,"Andre Agassi","Kent Kinnear",14,11
69984,"Fabrice Santoro","Andre Agassi",15,13
69998,"Aaron Krickstein","Andre Agassi",20,13
70033,"Andre Agassi","Jason Stoltenberg",12,4
70033,"Andre Agassi","MaliVai Washington",12,4
70033,"Goran Ivanisevic","Andre Agassi",14,11
70040,"Andre Agassi","Jeff Tarango",13,10
70040,"Andre Agassi","Luis Herrera",13,6
70040,"Goran Ivanisevic","Andre Agassi",12,7
70076,"Andre Agassi","Boris Becker",13,8
70076,"Andre Agassi","Michael Stich",13,8
70076,"Jim Courier","Andre Agassi",13,8
70076,"Pete Sampras","Andre Agassi",13,12
70159,"Jakob Hlasek","Andre Agassi",12,3
70166,"Alexander Volkov","Andre Agassi",13,9
70166,"Andre Agassi","Alex Antonitsch",19,15
70180,"Andre Agassi","Francisco Clavet",12,3
70180,"Marc Rosset","Andre Agassi",14,11
70187,"Andre Agassi","Bernd Karbacher",14,12
70187,"Andre Agassi","Jaime Yzaga",18,13
70187,"Emilio Sanchez","Andre Agassi",12,4
70198,"Bryan Shelton","Andre Agassi",12,8
70222,"Jacco Eltingh","Andre Agassi",13,11
70229,"Andre Agassi","Claudio Pistolesi",12,3
70229,"Andre Agassi","Karsten Braasch",12,6
70229,"Franco Davin","Andre Agassi",13,10
70243,"Andre Agassi","Horacio De La Pena",12,6
70243,"Andre Agassi","Jacco Eltingh",15,13
70243,"Andre Agassi","Mikael Pernfors",13,7
70243,"Andre Agassi","Pablo Arraya",12,7
70243,"Andre Agassi","Pete Sampras",13,9
70250,"Andre Agassi","Martin Jaite",12,5
70250,"Carlos Costa","Andre Agassi",15,9
70271,"Andre Agassi","Emilio Sanchez",19,9
70271,"Andre Agassi","Gianluca Pozzi",18,3
70271,"Andre Agassi","Goran Prpic",21,17
70271,"Andre Agassi","Javier Frana",18,9
70271,"Andre Agassi","Pete Sampras",19,9
70271,"Jim Courier","Andre Agassi",18,7
70299,"Andre Agassi","Andrei Chesnokov",25,18
70299,"Andre Agassi","Boris Becker",26,19
70299,"Andre Agassi","Christian Saceanu",20,13
70299,"Andre Agassi","Derrick Rostagno",20,14
70299,"Andre Agassi","Eduardo Masso",22,13
70299,"Andre Agassi","Goran Ivanisevic",25,25
70299,"Andre Agassi","John McEnroe",18,9
70320,"Kevin Curren","Andre Agassi",13,9
70327,"Andre Agassi","Amos Mansdorf",12,6
70327,"Andre Agassi","Daniel Nestor",12,4
70327,"Andre Agassi","Greg Rusedski",12,5
70327,"Andre Agassi","Ivan Lendl",15,8
70327,"Andre Agassi","MaliVai Washington",14,9
70334,"Ronald Agenor","Yevgeny Kafelnikov",12,3
70348,"Andre Agassi","Olivier Delaitre",12,4
70348,"Jaime Yzaga","Andre Agassi",17,14
70355,"Alex O'Brien","Yevgeny Kafelnikov",12,3
70362,"Javier Sanchez","Yevgeny Kafelnikov",12,8
70369,"Andre Agassi","Carlos Costa",18,9
70369,"Andre Agassi","Francisco Roig",18,6
70369,"Andre Agassi","Jan Siemerink",18,8
70369,"Andre Agassi","Mikael Pernfors",18,7
70369,"Jim Courier","Andre Agassi",24,15
70404,"Andre Agassi","Jim Grabb",12,6
70404,"Patrik Kuhnen","Andre Agassi",12,7
70432,"Brad Gilbert","Andre Agassi",12,3
70439,"Marc Rosset","Yevgeny Kafelnikov",19,16
70439,"Yevgeny Kafelnikov","Marcos Aurelio Gorriz",13,10
70468,"Michael Chang","Andre Agassi",12,6
70495,"Stefan Edberg","Yevgeny Kafelnikov",12,7
70495,"Yevgeny Kafelnikov","Jeremy Bates",12,6
70523,"Andre Agassi","Brad Gilbert",18,11
70523,"Andre Agassi","Jeff Tarango",12,6
70523,"Andre Agassi","Jonathan Stark",13,8
70523,"Andre Agassi","Marcos Ondruska",12,4
70523,"Andre Agassi","Patrick McEnroe",12,2
70530,"Andre Agassi","Chuck Adams",18,11
70530,"Andre Agassi","Simon Youl",12,4
70530,"Todd Martin","Andre Agassi",13,7
70544,"Andre Agassi","Emilio Sanchez",12,2
70544,"Andre Agassi","Keith Evans",12,4
70544,"Andre Agassi","Marcos Ondruska",15,11
70544,"Andre Agassi","Mark Woodforde",12,5
70544,"Andre Agassi","Sandon Stolle",12,0
70551,"Marc Rosset","Andre Agassi",16,16
70562,"Andre Agassi","Aaron Krickstein",13,5
70562,"Andre Agassi","Jason Stoltenberg",12,1
70562,"Richard Krajicek","Andre Agassi",13,7
70586,"Andre Agassi","Alex Corretja",12,5
70586,"Andre Agassi","Javier Sanchez",13,9
70586,"Magnus Gustafsson","Yevgeny Kafelnikov",12,7
70586,"Sergi Bruguera","Andre Agassi",12,4
70586,"Yevgeny Kafelnikov","Francisco Clavet",14,11
70586,"Yevgeny Kafelnikov","Michael Stich",16,12
70586,"Yevgeny Kafelnikov","Vaclav Roubicek",10,4
70635,"Slava Dosedel","Yevgeny Kafelnikov",18,4
70635,"Yevgeny Kafelnikov","Karol Kucera",18,11
70656,"Carl-Uwe Steeb","Andre Agassi",17,10
70663,"Andre Agassi","Bernd Karbacher",19,9
70663,"Andre Agassi","Joao Cunha-Silva",23,12
70663,"Andre Agassi","Patrick Rafter",24,11
70663,"Andre Agassi","Richard Krajicek",21,17
70663,"Pete Sampras","Andre Agassi",24,20
70691,"Aaron Krickstein","Andre Agassi",16,13
70691,"Andre Agassi","Johan Carlsson",12,5
70698,"Andre Agassi","Michael Chang",13,9
70698,"Andre Agassi","Patrick McEnroe",12,5
70698,"Andre Agassi","Patrik Kuhnen",12,6
70698,"Todd Martin","Andre Agassi",13,8
70705,"Marcos Aurelio Gorriz","Yevgeny Kafelnikov",12,6
70712,"Andre Agassi","Doug Flach",13,6
70712,"Andre Agassi","Michael Stich",12,5
70712,"Andre Agassi","Richey Reneberg",12,5
70712,"Andre Agassi","Todd Martin",18,13
70712,"Michael Chang","Andre Agassi",15,16
70719,"Amos Mansdorf","Yevgeny Kafelnikov",18,11
70719,"Andre Agassi","Amos Mansdorf",12,5
70719,"Andre Agassi","Daniel Nestor",12,8
70719,"Andre Agassi","Ivan Lendl",12,7
70719,"Andre Agassi","Kelly Evernden",12,3
70719,"Andrei Medvedev","Andre Agassi",16,16
70719,"Yevgeny Kafelnikov","Lan Bale",12,6
70726,"Alexander Volkov","Yevgeny Kafelnikov",14,13
70726,"Yevgeny Kafelnikov","Tomas Carbonell",13,10
70733,"Thomas Enqvist","Andre Agassi",27,23
70768,"Alberto Berasategui","Yevgeny Kafelnikov",12,3
70782,"Martin Damm","Yevgeny Kafelnikov",13,10
70782,"Yevgeny Kafelnikov","Michael Stich",13,9
70789,"Petr Korda","Yevgeny Kafelnikov",14,12
70789,"Yevgeny Kafelnikov","Marcos Ondruska",12,5
70803,"Marc Rosset","Yevgeny Kafelnikov",17,17
70803,"Yevgeny Kafelnikov","Kenneth Carlsen",16,11
70859,"Yevgeny Kafelnikov","Alexander Volkov",12,7
70859,"Yevgeny Kafelnikov","David Rikl",18,15
70859,"Yevgeny Kafelnikov","Karel Novacek",12,5
70859,"Yevgeny Kafelnikov","Pat Cash",16,10
70859,"Yevgeny Kafelnikov","Patrick Rafter",13,6
70866,"Todd Martin","Yevgeny Kafelnikov",16,11
70873,"Pete Sampras","Yevgeny Kafelnikov",24,25
70873,"Yevgeny Kafelnikov","Steve Bryan",4,5
70887,"Stephane Simian","Yevgeny Kafelnikov",19,16
70901,"Sergi Bruguera","Yevgeny Kafelnikov",14,12
70901,"Yevgeny Kafelnikov","Brad Gilbert",13,7
70908,"Andre Agassi","Brad Gilbert",12,3
70908,"Andre Agassi","Karsten Braasch",12,5
70908,"Andre Agassi","Libor Nemecek",12,7
70908,"Andre Agassi","Luiz Mattar",12,7
70908,"Andre Agassi","Mark Keil",12,3
70908,"Wayne Ferreira","Yevgeny Kafelnikov",15,14
70908,"Yevgeny Kafelnikov","Brett Steven",13,7
70908,"Yevgeny Kafelnikov","Magnus Gustafsson",12,4
70915,"Andre Agassi","Richey Reneberg",12,6
70915,"Fabrice Santoro","Andre Agassi",13,10
70915,"Yevgeny Kafelnikov","Alex Antonitsch",18,15
70915,"Yevgeny Kafelnikov","Daniel Vacek",13,8
70915,"Yevgeny Kafelnikov","Jonas Bjorkman",12,5
70915,"Yevgeny Kafelnikov","Patrick Baur",14,11
70915,"Yevgeny Kafelnikov","Stephane Simian",18,11
70922,"Andre Agassi","Boris Becker",13,7
70922,"Andre Agassi","Cedric Pioline",12,6
70922,"Andre Agassi","Mark Petchey",16,12
70922,"Andre Agassi","Patrick Rafter",12,6
70922,"Andre Agassi","Stefan Edberg",13,8
70922,"Pete Sampras","Andre Agassi",17,13
70922,"Tomas Nydahl","Yevgeny Kafelnikov",0,0
70922,"Yevgeny Kafelnikov","Dimitri Poliakov",18,8
70922,"Yevgeny Kafelnikov","Juan-Luis Rascon-Lope",12,7
70943,"Andre Agassi","Chuck Adams",12,6
70943,"Andre Agassi","David Wheaton",19,16
70943,"Andre Agassi","Doug Flach",13,6
70943,"Andrea Gaudenzi","Yevgeny Kafelnikov",12,6
70943,"Pete Sampras","Andre Agassi",12,4
70950,"Roberto Carretero","Yevgeny Kafelnikov",12,6
70964,"Andrei Medvedev","Yevgeny Kafelnikov",13,9
70964,"Yevgeny Kafelnikov","Andre Agassi",13,13
70964,"Yevgeny Kafelnikov","David Rikl",13,9
70964,"Yevgeny Kafelnikov","Gilbert Schaller",12,6
70964,"Yevgeny Kafelnikov","Michael Stich",13,10
70971,"Andre Agassi","Francisco Clavet",12,6
70971,"Andre Agassi","Richey Reneberg",16,12
70971,"MaliVai Washington","Andre Agassi",13,9
70978,"Andrei Medvedev","Yevgeny Kafelnikov",21,17
70978,"Yevgeny Kafelnikov","Gilbert Schaller",19,16
70978,"Yevgeny Kafelnikov","Goran Ivanisevic",13,6
70978,"Yevgeny Kafelnikov","Karsten Braasch",12,5
70978,"Yevgeny Kafelnikov","Michael Stich",12,7
70978,"Yevgeny Kafelnikov","Richard Krajicek",12,5
70985,"Andre Agassi","Tomas Carbonell",17,12
70985,"Goran Ivanisevic","Yevgeny Kafelnikov",12,6
70985,"Stefano Pescosolido","Andre Agassi",13,12
70985,"Yevgeny Kafelnikov","Jordi Burillo",13,9
70992,"Pete Sampras","Yevgeny Kafelnikov",12,6
70999,"Alberto Berasategui","Yevgeny Kafelnikov",18,7
70999,"Andre Agassi","Mats Wilander",19,8
70999,"Thomas Muster","Andre Agassi",28,26
70999,"Yevgeny Kafelnikov","Bernd Karbacher",19,12
70999,"Yevgeny Kafelnikov","Thierry Guardiola",27,25
71020,"Magnus Larsson","Yevgeny Kafelnikov",14,12
71020,"Yevgeny Kafelnikov","Jim Courier",12,5
71020,"Yevgeny Kafelnikov","Jonathan Stark",13,9
71020,"Yevgeny Kafelnikov","Olivier Delaitre",16,15
71027,"Andre Agassi","Aaron Krickstein",19,13
71027,"Andre Agassi","Andrea Gaudenzi",24,14
71027,"Andre Agassi","Nicolas Pereira",30,25
71027,"Daniel Vacek","Yevgeny Kafelnikov",26,25
71027,"Todd Martin","Andre Agassi",29,22
71027,"Yevgeny Kafelnikov","Karsten Braasch",18,5
71027,"Yevgeny Kafelnikov","Laurence Tieleman",37,33
71041,"Guy Forget","Yevgeny Kafelnikov",13,8
71041,"Yevgeny Kafelnikov","Daniel Vacek",12,5
71041,"Yevgeny Kafelnikov","Karel Novacek",14,11
71041,"Yevgeny Kafelnikov","Thomas Muster",17,18
71055,"Alberto Berasategui","Yevgeny Kafelnikov",12,4
71055,"Andre Agassi","Maurice Ruah",13,7
71055,"Brett Steven","Andre Agassi",15,13
71055,"Yevgeny Kafelnikov","Alex Corretja",12,5
71055,"Yevgeny Kafelnikov","Younes El Aynaoui",13,10
71062,"Andre Agassi","David Wheaton",16,13
71062,"Andre Agassi","Jakob Hlasek",12,2
71062,"Andre Agassi","Jason Stoltenberg",12,8
71062,"Andre Agassi","Sergi Bruguera",17,13
71062,"Andre Agassi","Wayne Ferreira",13,9
71069,"Andre Agassi","Greg Rusedski",12,5
71069,"Andre Agassi","Nicklas Kulti",12,3
71069,"Jason Stoltenberg","Andre Agassi",16,11
71076,"Thomas Enqvist","Yevgeny Kafelnikov",16,14
71076,"Yevgeny Kafelnikov","Sebastien Lareau",12,7
71083,"Jan Siemerink","Andre Agassi",15,12
71083,"Marc Rosset","Yevgeny Kafelnikov",13,9
71083,"Yevgeny Kafelnikov","Marc-Kevin Goellner",18,17
71083,"Yevgeny Kafelnikov","Robbie Weiss",13,7
71083,"Yevgeny Kafelnikov","Wayne Black",16,14
71090,"Yevgeny Kafelnikov","Cedric Pioline",17,10
71090,"Yevgeny Kafelnikov","Guy Forget",12,7
71090,"Yevgeny Kafelnikov","Mauricio Hadad",18,13
71090,"Yevgeny Kafelnikov","Michael Chang",16,16
71090,"Yevgeny Kafelnikov","Richey Reneberg",16,12
71097,"Andre Agassi","Guy Forget",25,17
71097,"Andre Agassi","Michael Chang",27,18
71097,"Andre Agassi","Michael Stich",20,12
71097,"Andre Agassi","Robert Eriksson",18,5
71097,"Andre Agassi","Thomas Muster",19,9
71097,"Andre Agassi","Todd Martin",22,14
71097,"Andre Agassi","Wayne Ferreira",20,11
71097,"Michael Stich","Yevgeny Kafelnikov",19,11
71097,"Yevgeny Kafelnikov","Carlos Costa",18,9
71097,"Yevgeny Kafelnikov","Jacco Eltingh",20,14
71097,"Yevgeny Kafelnikov","Martin Damm",20,15
71111,"Jeff Tarango","Yevgeny Kafelnikov",12,1
71111,"Yevgeny Kafelnikov","Younes El Aynaoui",12,7
71125,"Lionel Roux","Yevgeny Kafelnikov",16,18
71125,"Yevgeny Kafelnikov","Daniel Vacek",12,7
71139,"Marcos Ondruska","Yevgeny Kafelnikov",12,6
71146,"Andre Agassi","Andrea Gaudenzi",12,4
71146,"Andre Agassi","Chuck Adams",12,6
71146,"Andre Agassi","Goran Ivanisevic",12,8
71146,"Andre Agassi","Mark Woodforde",12,0
71146,"Andre Agassi","Michael Stich",23,17
71146,"Andrei Chesnokov","Yevgeny Kafelnikov",18,14
71146,"Yevgeny Kafelnikov","Cedric Pioline",12,8
71146,"Yevgeny Kafelnikov","Richard Fromberg",12,8
71153,"Andre Agassi","Nicklas Kulti",13,14
71153,"Andre Agassi","Todd Martin",18,12
71153,"Goran Ivanisevic","Andre Agassi",16,13
71153,"Goran Ivanisevic","Yevgeny Kafelnikov",13,9
71153,"Yevgeny Kafelnikov","Guy Forget",13,10
71153,"Yevgeny Kafelnikov","Sergi Bruguera",18,13
71153,"Yevgeny Kafelnikov","Stefan Edberg",13,8
71160,"Andre Agassi","Jason Stoltenberg",15,12
71160,"Andre Agassi","Marc Rosset",23,17
71160,"Andre Agassi","Pete Sampras",14,11
71160,"Andre Agassi","Sergi Bruguera",12,8
71160,"Andre Agassi","Todd Martin",13,7
71160,"Petr Korda","Yevgeny Kafelnikov",12,6
71160,"Yevgeny Kafelnikov","Jakob Hlasek",12,7
71167,"Marc Rosset","Yevgeny Kafelnikov",17,14
71167,"Yevgeny Kafelnikov","Lars Rehmann",15,9
71167,"Yevgeny Kafelnikov","Paul Haarhuis",17,12
71175,"Andre Agassi","Alberto Berasategui",12,2
71175,"Andre Agassi","Michael Chang",12,8
71175,"Andre Agassi","Sergi Bruguera",13,13
71175,"Pete Sampras","Andre Agassi",17,15
71196,"Andre Agassi","Thomas Muster",13,8
71196,"Magnus Larsson","Andre Agassi",13,9
71223,"Mark Woodforde","Yevgeny Kafelnikov",13,8
71223,"Yevgeny Kafelnikov","Henrik Holm",13,8
71223,"Yevgeny Kafelnikov","Marcos Ondruska",13,7
71237,"Andre Agassi","Aaron Krickstein",15,8
71237,"Andre Agassi","Grant Stafford",18,8
71237,"Andre Agassi","Greg Rusedski",18,8
71237,"Andre Agassi","Jerome Golmard",18,6
71237,"Andre Agassi","Patrick Rafter",18,7
71237,"Andre Agassi","Pete Sampras",23,17
71237,"Andre Agassi","Yevgeny Kafelnikov",19,7
71237,"Yevgeny Kafelnikov","Brent Larkham",18,4
71237,"Yevgeny Kafelnikov","Jonas Bjorkman",23,15
71237,"Yevgeny Kafelnikov","Kenneth Carlsen",22,13
71237,"Yevgeny Kafelnikov","Todd Martin",18,7
71258,"Andre Agassi","Brian MacPhie",12,7
71258,"Andre Agassi","Fernando Meligeni",12,2
71258,"Andre Agassi","MaliVai Washington",12,6
71258,"Andre Agassi","Marc-Kevin Goellner",13,8
71258,"Andre Agassi","Michael Chang",13,11
71258,"Daniel Vacek","Yevgeny Kafelnikov",14,11
71258,"Yevgeny Kafelnikov","Jakob Hlasek",12,8
71258,"Yevgeny Kafelnikov","Kenneth Carlsen",13,8
71265,"Yevgeny Kafelnikov","Boris Becker",19,18
71265,"Yevgeny Kafelnikov","Goran Ivanisevic",19,16
71265,"Yevgeny Kafelnikov","Karel Novacek",12,6
71265,"Yevgeny Kafelnikov","Karol Kucera",0,0
71265,"Yevgeny Kafelnikov","Michael Stich",17,12
71272,"Andre Agassi","Jan Apell",12,6
71272,"Andre Agassi","Jeff Tarango",12,7
71272,"Andre Agassi","Sebastien Lareau",13,7
71272,"Boris Becker","Yevgeny Kafelnikov",14,12
71272,"Thomas Enqvist","Andre Agassi",18,15
71272,"Yevgeny Kafelnikov","David Wheaton",17,15
71272,"Yevgeny Kafelnikov","Petr Korda",12,3
71279,"Paul Haarhuis","Yevgeny Kafelnikov",16,15
71279,"Yevgeny Kafelnikov","Danny Sapsford",13,7
71279,"Yevgeny Kafelnikov","Martin Damm",13,6
71279,"Yevgeny Kafelnikov","Mats Wilander",13,10
71286,"Andre Agassi","Boris Becker",13,10
71286,"Andre Agassi","Mats Wilander",12,2
71286,"Andre Agassi","Thomas Enqvist",12,4
71286,"Andre Agassi","Wayne Ferreira",12,7
71286,"Pete Sampras","Andre Agassi",20,13
71293,"Andre Agassi","Magnus Larsson",18,17
71293,"Andre Agassi","MaliVai Washington",12,7
71293,"Andre Agassi","Pete Sampras",16,14
71293,"Andre Agassi","Shuzo Matsuoka",12,6
71293,"Andre Agassi","Tommy Ho",12,2
71293,"Andre Agassi","Wayne Ferreira",12,6
71293,"Yevgeny Kafelnikov","Alexander Volkov",12,5
71293,"Yevgeny Kafelnikov","Anders Jarryd",13,6
71293,"Yevgeny Kafelnikov","Danny Sapsford",12,3
71293,"Yevgeny Kafelnikov","Guillaume Raoux",12,4
71293,"Yevgeny Kafelnikov","Jakob Hlasek",14,10
71321,"Andre Agassi","Scott Draper",12,7
71321,"Andre Agassi","Sebastien Lareau",13,8
71321,"Andre Agassi","Tommy Ho",12,5
71321,"Andre Agassi","Wayne Ferreira",13,7
71321,"Jim Courier","Andre Agassi",12,7
71321,"Thomas Muster","Yevgeny Kafelnikov",12,6
71321,"Yevgeny Kafelnikov","Marcelo Rios",12,7
71321,"Yevgeny Kafelnikov","Richard Fromberg",18,11
71321,"Yevgeny Kafelnikov","Thierry Champion",12,7
71335,"Andrea Gaudenzi","Yevgeny Kafelnikov",15,16
71335,"Yevgeny Kafelnikov","Mark Woodforde",12,4
71342,"Andre Agassi","Christian Ruud",12,8
71342,"Andre Agassi","Magnus Larsson",12,8
71342,"Andre Agassi","Todd Woodbridge",12,4
71342,"Andre Agassi","Vincent Spadea",13,9
71342,"Martin Sinner","Yevgeny Kafelnikov",12,7
71342,"Michael Chang","Andre Agassi",18,13
71349,"Andre Agassi","Marc-Kevin Goellner",13,8
71349,"Andre Agassi","Slava Dosedel",12,3
71349,"Gilbert Schaller","Yevgeny Kafelnikov",12,4
71349,"Sergi Bruguera","Andre Agassi",12,4
71356,"Corrado Borroni","Yevgeny Kafelnikov",16,14
71363,"Goran Ivanisevic","Yevgeny Kafelnikov",13,10
71363,"Sergi Bruguera","Yevgeny Kafelnikov",12,5
71370,"Andre Agassi","Francisco Clavet",18,3
71370,"Andre Agassi","Karsten Braasch",18,9
71370,"Andre Agassi","Todd Woodbridge",19,6
71370,"Andre Agassi","Younes El Aynaoui",18,8
71370,"Thomas Muster","Yevgeny Kafelnikov",18,8
71370,"Yevgeny Kafelnikov","Alex Corretja",18,7
71370,"Yevgeny Kafelnikov","Andre Agassi",19,12
71370,"Yevgeny Kafelnikov","David Wheaton",22,12
71370,"Yevgeny Kafelnikov","Jan Siemerink",24,13
71370,"Yevgeny Kafelnikov","Magnus Gustafsson",25,16
71384,"Carlos Costa","Carlos Moya",13,8
71384,"Carlos Moya","Sandor Noszaly",15,13
71391,"Bohdan Ulihrach","Carlos Moya",12,4
71391,"Carlos Moya","Andrew Ilie",14,16
71391,"Carlos Moya","Francisco Clavet",14,10
71391,"Paul Haarhuis","Yevgeny Kafelnikov",13,7
71391,"Yevgeny Kafelnikov","Daniel Vacek",12,7
71391,"Yevgeny Kafelnikov","Hendrik Dreekmann",12,6
71398,"Andre Agassi","Alexander Mronz",18,9
71398,"Andre Agassi","Andrew Painter",18,5
71398,"Andre Agassi","David Wheaton",21,14
71398,"Andre Agassi","Jacco Eltingh",18,9
71398,"Andre Agassi","Patrick McEnroe",18,5
71398,"Boris Becker","Andre Agassi",22,22
71398,"Goran Ivanisevic","Yevgeny Kafelnikov",20,14
71398,"Yevgeny Kafelnikov","Aaron Krickstein",18,8
71398,"Yevgeny Kafelnikov","Alexander Volkov",19,12
71398,"Yevgeny Kafelnikov","Bernd Karbacher",19,13
71398,"Yevgeny Kafelnikov","Filip Dewulf",19,11
71412,"Yevgeny Kafelnikov","Andrea Gaudenzi",12,5
71412,"Yevgeny Kafelnikov","Galo Blanco",16,11
71412,"Yevgeny Kafelnikov","Jakob Hlasek",21,16
71412,"Yevgeny Kafelnikov","Sergi Bruguera",12,7
71412,"Yevgeny Kafelnikov","Vincent Spadea",12,7
71419,"Andre Agassi","Mauricio Hadad",12,7
71419,"Andre Agassi","Michael Joyce",12,4
71419,"Andre Agassi","Rodolphe Gilbert",12,4
71419,"Andre Agassi","Stefan Edberg",15,15
71419,"Andre Agassi","Todd Martin",13,10
71426,"Andre Agassi","Daniel Vacek",12,6
71426,"Andre Agassi","Jeff Tarango",12,7
71426,"Andre Agassi","MaliVai Washington",13,9
71426,"Andre Agassi","Mats Wilander",12,2
71426,"Andre Agassi","Pete Sampras",15,11
71426,"Mats Wilander","Yevgeny Kafelnikov",14,11
71426,"Yevgeny Kafelnikov","Brett Steven",13,14
71426,"Yevgeny Kafelnikov","Mark Philippoussis",19,17
71433,"Carlos Moya","Dinu Pescariu",16,13
71433,"Carlos Moya","Renzo Furlan",13,10
71433,"Sandor Noszaly","Carlos Moya",12,8
71440,"Andre Agassi","Alberto Berasategui",12,8
71440,"Andre Agassi","Daniel Vacek",13,7
71440,"Andre Agassi","Michael Chang",13,7
71440,"Andre Agassi","Renzo Furlan",12,7
71440,"Andre Agassi","Thomas Enqvist",12,6
71440,"Bernd Karbacher","Yevgeny Kafelnikov",13,9
71447,"Andre Agassi","Fernando Meligeni",13,9
71447,"Andre Agassi","Mats Wilander",12,6
71447,"Andre Agassi","Patrick Rafter",12,6
71447,"Andre Agassi","Richard Krajicek",16,15
71447,"Andre Agassi","Sergi Bruguera",12,5
71447,"Richard Krajicek","Yevgeny Kafelnikov",12,8
71447,"Yevgeny Kafelnikov","Albert Chang",12,5
71447,"Yevgeny Kafelnikov","Marcelo Rios",13,9
71447,"Yevgeny Kafelnikov","Marc-Kevin Goellner",12,4
71454,"Alberto Berasategui","Carlos Moya",15,15
71454,"Yevgeny Kafelnikov","Alexander Volkov",12,3
71454,"Yevgeny Kafelnikov","Jan Siemerink",13,8
71454,"Yevgeny Kafelnikov","Marc Rosset",13,10
71454,"Yevgeny Kafelnikov","Olivier Delaitre",12,4
71454,"Yevgeny Kafelnikov","Shuzo Matsuoka",17,11
71461,"Andre Agassi","Alex Corretja",28,19
71461,"Andre Agassi","Boris Becker",24,22
71461,"Andre Agassi","Bryan Shelton",18,6
71461,"Andre Agassi","Jared Palmer",19,10
71461,"Andre Agassi","Petr Korda",20,17
71461,"Andre Agassi","Stefan Edberg",18,8
71461,"Pete Sampras","Andre Agassi",23,18
71461,"Vincent Spadea","Yevgeny Kafelnikov",18,10
71461,"Yevgeny Kafelnikov","Jeff Tarango",19,9
71461,"Yevgeny Kafelnikov","Nuno Marques",18,11
71489,"Jason Stoltenberg","Yevgeny Kafelnikov",12,6
71489,"Yevgeny Kafelnikov","Guy Forget",18,15
71496,"Sjeng Schalken","Carlos Moya",12,4
71503,"Bohdan Ulihrach","Yevgeny Kafelnikov",12,6
71510,"Wayne Ferreira","Yevgeny Kafelnikov",14,15
71510,"Yevgeny Kafelnikov","Cedric Pioline",12,7
71510,"Yevgeny Kafelnikov","Guillaume Raoux",12,2
71510,"Yevgeny Kafelnikov","Henrik Holm",13,8
71517,"Andre Agassi","Jacco Eltingh",12,6
71517,"Arnaud Boetsch","Yevgeny Kafelnikov",14,10
71517,"MaliVai Washington","Andre Agassi",16,8
71517,"Razvan Sabau","Carlos Moya",13,7
71517,"Yevgeny Kafelnikov","Alexander Volkov",14,11
71524,"Carlos Moya","Jaime Yzaga",13,12
71524,"Jordi Burillo","Carlos Moya",14,11
71531,"Carlos Moya","Alberto Berasategui",12,6
71531,"Carlos Moya","Felix Mantilla",12,3
71531,"Carlos Moya","Jiri Novak",13,8
71531,"Carlos Moya","Karim Alami",13,10
71531,"Carlos Moya","Marcelo Filippini",12,7
71531,"Daniel Vacek","Yevgeny Kafelnikov",17,18
71531,"Yevgeny Kafelnikov","Byron Black",18,7
71531,"Yevgeny Kafelnikov","Cedric Pioline",13,6
71531,"Yevgeny Kafelnikov","Frederik Fetterlein",13,8
71539,"Boris Becker","Yevgeny Kafelnikov",13,9
71539,"Pete Sampras","Yevgeny Kafelnikov",12,6
71539,"Wayne Ferreira","Yevgeny Kafelnikov",16,13
71560,"Goran Ivanisevic","Yevgeny Kafelnikov",23,19
